101 Dalmatians | Disney+ | Film | 1996
101 Dalmatians | Disney+ | Series | 1997
101 Dalmatians II: Patch's London Adventure | Disney+ | Film | 2003
101 Dalmatian Street | Disney+ | Series | 2019
102 Dalmatians | Disney+ | Film | 2000
10 Things I Hate About You | Disney+ | Film | 1999
12 Dates of Christmas | Disney+ | Film | 2011
20,000 Leagues Under the Sea | Disney+ | Film | 1954
3 Men and a Baby | Disney+ | Film | 1987
3 Men and a Little Lady | Disney+ | Film | 1990
A Bug's Life | Disney+ | Film | 1998
A Celebration of the Music from Coco | Disney+ | Film | 2020
A Christmas Carol | Disney+ | Film | 2009
Adventures in Babysitting | Disney+ | Film | 2016
African Cats | Disney+ | Film | 2011
A Goofy Movie | Disney+ | Film | 1995
A Kid in King Arthur's Court | Disney+ | Film | 1995
Aladdin | Disney+ | Film | 1992
Aladdin | Disney+ | Film | 2019
Aladdin and the King of Thieves | Disney+ | Film | 1996
Alaska's Grizzly Gauntlet | Disney+ | Series | 2018
Alexander and the Terrible, Horrible, No Good, Very Bad Day | Disney+ | Film | 2014
Alice in Wonderland | Disney+ | Film | 1951
Alice in Wonderland | Disney+ | Film | 2010
Alice Through the Looking Glass | Disney+ | Film | 2016
Aliens of the Deep | Disney+ | Film | 2005
Alley Cats Strike | Disney+ | Film | 2000
Almost Angels | Disney+ | Film | 1962
America's Funniest Home Videos | Disney+ | Series | 1989
America's Greatest Animals | Disney+ | Film | 2012
America's Heart and Soul | Disney+ | Film | 2004
America's National Parks | Disney+ | Series | 2015
Amphibia | Disney+ | Series | 2019
Amy | Disney+ | Film | 1981
Anastasia | Disney+ | Film | 1997
Ancient China from Above | Disney+ | Series | 2020
Andi Mack | Disney+ | Series | 2017
An Extremely Goofy Movie | Disney+ | Film | 2000
Animal ER | Disney+ | Series | 2016
Animal Showdown | Disney+ | Series | 2018
Annie | Disney+ | Film | 1999
A.N.T. Farm | Disney+ | Series | 2011
Ant-Man | Disney+ | Film | 2015
Ant-Man and the Wasp | Disney+ | Film | 2018
Apollo: Missions to the Moon | Disney+ | Film | 2019
A Ring of Endless Light | Disney+ | Film | 2002
Around the World in 80 Days | Disney+ | Film | 2004
Artemis Fowl | Disney+ | Film | 2020
A Tale of Two Critters | Disney+ | Film | 1977
Atlantis: Milo's Return | Disney+ | Film | 2003
